file,tau,redrafts,advances,rejects,call_ratio
gatev4c_eval_2276034_38.log,0.2,509,295,327,0.633
gatev4c_eval_2276034_39.log,0.2,470,262,292,0.642
gatev4c_eval_2276034_40.log,0.2,743,454,534,0.621
gatev4c_eval_2276034_41.log,0.2,736,492,514,0.599
gatev4c_eval_2276034_42.log,0.2,733,468,525,0.610
gatev4c_eval_2276034_43.log,0.2,780,459,556,0.630
gatev4c_eval_2276034_44.log,0.2,856,555,625,0.607
gatev4c_eval_2276034_45.log,0.2,851,539,608,0.612
gatev4c_eval_2276034_46.log,0.2,842,532,617,0.613
gatev4c_eval_2276034_47.log,0.2,905,587,662,0.607
gatev4c_eval_2276034_80.log,0.2,3,1,2,0.750
gatev4c_eval_2276034_81.log,0.2,4,1,3,0.800
gatev4c_eval_2276034_82.log,0.2,4,1,3,0.800
gatev4c_eval_2276034_83.log,0.2,5,0,4,1.000
gatev4c_eval_2276034_84.log,0.2,45,18,36,0.714
gatev4c_eval_2276034_85.log,0.2,41,19,33,0.683
gatev4c_eval_2276034_86.log,0.2,37,18,26,0.673
gatev4c_eval_2276034_87.log,0.2,40,13,30,0.755
gatev4c_eval_2276034_88.log,0.2,283,156,228,0.645
gatev4c_eval_2276034_89.log,0.2,269,143,215,0.653
gatev4c_eval_2276034_90.log,0.2,243,145,195,0.626
gatev4c_eval_2276034_91.log,0.2,266,137,207,0.660
gatev4c_eval_2276034_92.log,0.2,367,224,290,0.621
gatev4c_eval_2276034_93.log,0.2,344,223,266,0.607
gatev4c_eval_2276034_94.log,0.2,357,222,282,0.617
gatev4c_eval_2276034_95.log,0.2,339,198,270,0.631
gatev4c_r_spec_t100_seed42.log,0.2,283,156,228,0.645
gatev4c_r_spec_t100_seed43.log,0.2,269,143,215,0.653
gatev4c_r_spec_t100_seed44.log,0.2,243,145,195,0.626
gatev4c_r_spec_t100_seed45.log,0.2,266,137,207,0.660
gatev4c_r_spec_t150_seed42.log,0.2,367,224,290,0.621
gatev4c_r_spec_t150_seed43.log,0.2,344,223,266,0.607
gatev4c_r_spec_t150_seed44.log,0.2,357,222,282,0.617
gatev4c_r_spec_t150_seed45.log,0.2,339,198,270,0.631
gatev4c_r_spec_t25_seed42.log,0.2,3,1,2,0.750
gatev4c_r_spec_t25_seed43.log,0.2,4,1,3,0.800
gatev4c_r_spec_t25_seed44.log,0.2,4,1,3,0.800
gatev4c_r_spec_t25_seed45.log,0.2,5,0,4,1.000
gatev4c_r_spec_t50_seed42.log,0.2,45,18,36,0.714
gatev4c_r_spec_t50_seed43.log,0.2,41,19,33,0.683
gatev4c_r_spec_t50_seed44.log,0.2,37,18,26,0.673
gatev4c_r_spec_t50_seed45.log,0.2,40,13,30,0.755
gatev4c_spec_t100_seed42.log,0.2,743,454,534,0.621
gatev4c_spec_t100_seed43.log,0.2,736,492,514,0.599
gatev4c_spec_t100_seed44.log,0.2,733,468,525,0.610
gatev4c_spec_t100_seed45.log,0.2,780,459,556,0.630
gatev4c_spec_t150_seed42.log,0.2,856,555,625,0.607
gatev4c_spec_t150_seed43.log,0.2,851,539,608,0.612
gatev4c_spec_t150_seed44.log,0.2,842,532,617,0.613
gatev4c_spec_t150_seed45.log,0.2,905,587,662,0.607
gatev4c_spec_t25_seed42.log,0.2,327,160,182,0.671
gatev4c_spec_t25_seed43.log,0.2,301,158,147,0.656
gatev4c_spec_t25_seed44.log,0.2,314,153,167,0.672
